 2017-04-21 20:16:37,769 [P6892/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.3 application starting on FREELANCE-PC
 2017-04-21 20:16:37,829 [P6892/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-04-21 20:16:37,864 [P6892/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 34ms)
 2017-04-21 20:16:38,039 [P6892/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-04-21 20:16:39,117 [P6892/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 1077ms)
 2017-04-21 20:16:39,478 [P6892/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-04-21 20:16:39,479 [P6892/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 1ms)
 2017-04-21 20:16:39,480 [P6892/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-04-21 20:16:39,482 [P6892/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 2ms)
 2017-04-21 20:16:39,496 [P6892/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-04-21 20:16:39,656 [P6892/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 160ms)
 2017-04-21 20:16:39,657 [P6892/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2017-04-21 20:16:39,694 [P6892/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 36ms)
 2017-04-21 20:16:40,140 [P6892/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2017-04-21 20:16:40,142 [P6892/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 1ms)
 2017-04-21 20:16:40,143 [P6892/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2017-04-21 20:16:40,144 [P6892/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 1ms)
 2017-04-21 20:16:43,417 [P6892/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-04-21 20:16:44,053 [P6892/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-04-21 20:16:44,057 [P6892/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-04-21 20:16:44,132 [P6892/D2/T1] WARN  Umbraco.Core.Sync.DatabaseServerMessenger - No last synced Id found, this generally means this is a new server/install. The server will build its caches and indexes, and then adjust its last synced Id to the latest found in the database and maintain cache updates based on that Id.
 2017-04-21 20:16:44,221 [P6892/D2/T1] INFO  umbraco.content - Load Xml from file...
 2017-04-21 20:16:44,292 [P6892/D2/T1] INFO  umbraco.content - Loaded Xml from file.
 2017-04-21 20:16:44,441 [P6892/D2/T1] INFO  umbraco.content - Loading content from database...
